#Leapfrog 3D bezier polyline file (v1.2).
#Point X, Point Y, Point Z, Normal X, Normal Y, Normal Z, Control0 X, Control0 Y, Control0 Z, Control1 X, Control1 Y, Control1 Z, STangent X, STangent Y, STangent Z
421312.548593, 4391720.66678, 3676.32521764, None, None, None, 421312.548593, 4391720.66678, 3676.32521764, 421312.548593, 4391720.66678, 3676.32521764, 0, 0, 0
421313.157253, 4391721.61215, 3675.90106639, None, None, None, 421313.157253, 4391721.61215, 3675.90106639, 421313.157253, 4391721.61215, 3675.90106639, 0, 0, 0
421314.102942, 4391723.08098, 3675.49470198, None, None, None, 421314.102942, 4391723.08098, 3675.49470198, 421314.102942, 4391723.08098, 3675.49470198, 0, 0, 0
421316.900347, 4391727.42589, 3674.29265159, None, None, None, 421316.900347, 4391727.42589, 3674.29265159, 421316.900347, 4391727.42589, 3674.29265159, 0, 0, 0
421318.7008, 4391730.22234, 3674, None, None, None, 421318.7008, 4391730.22234, 3674, 421318.7008, 4391730.22234, 3674, 0, 0, 0
421320.611599, 4391733.19017, 3672.75764947, None, None, None, 421320.611599, 4391733.19017, 3672.75764947, 421320.611599, 4391733.19017, 3672.75764947, 0, 0, 0
421320.637181, 4391733.24589, 3672.73432798, None, None, None, 421320.637181, 4391733.24589, 3672.73432798, 421320.637181, 4391733.24589, 3672.73432798, 0, 0, 0
421323.636572, 4391739.77789, 3670, None, None, None, 421323.636572, 4391739.77789, 3670, 421323.636572, 4391739.77789, 3670, 0, 0, 0
421323.644498, 4391739.79515, 3669.99277429, None, None, None, 421323.644498, 4391739.79515, 3669.99277429, 421323.644498, 4391739.79515, 3669.99277429, 0, 0, 0
421323.661765, 4391739.83276, 3669.96554937, None, None, None, 421323.661765, 4391739.83276, 3669.96554937, 421323.661765, 4391739.83276, 3669.96554937, 0, 0, 0
421326.651815, 4391746.34442, 3665.56402575, None, None, None, 421326.651815, 4391746.34442, 3665.56402575, 421326.651815, 4391746.34442, 3665.56402575, 0, 0, 0
421328.024327, 4391749.33345, 3663.54360894, None, None, None, 421328.024327, 4391749.33345, 3663.54360894, 421328.024327, 4391749.33345, 3663.54360894, 0, 0, 0
421328.031491, 4391749.34905, 3663.54285943, None, None, None, 421328.031491, 4391749.34905, 3663.54285943, 421328.031491, 4391749.34905, 3663.54285943, 0, 0, 0
421329.659131, 4391752.89369, 3663.37258327, None, None, None, 421329.659131, 4391752.89369, 3663.37258327, 421329.659131, 4391752.89369, 3663.37258327, 0, 0, 0
421332.412082, 4391758.889, 3662.1691645, None, None, None, 421332.412082, 4391758.889, 3662.1691645, 421332.412082, 4391758.889, 3662.1691645, 0, 0, 0
421332.666448, 4391759.44295, 3662.11594339, None, None, None, 421332.666448, 4391759.44295, 3662.11594339, 421332.666448, 4391759.44295, 3662.11594339, 0, 0, 0
421333.220589, 4391760.64975, 3662.18426434, None, None, None, 421333.220589, 4391760.64975, 3662.18426434, 421333.220589, 4391760.64975, 3662.18426434, 0, 0, 0
421335.451384, 4391765.50793, 3662.45930258, None, None, None, 421335.451384, 4391765.50793, 3662.45930258, 421335.451384, 4391765.50793, 3662.45930258, 0, 0, 0
421335.673764, 4391765.99222, 3662.48672024, None, None, None, 421335.673764, 4391765.99222, 3662.48672024, 421335.673764, 4391765.99222, 3662.48672024, 0, 0, 0
421336.799837, 4391768.44456, 3662.25111113, None, None, None, 421336.799837, 4391768.44456, 3662.25111113, 421336.799837, 4391768.44456, 3662.25111113, 0, 0, 0
421338.681081, 4391772.54149, 3661.85749708, None, None, None, 421338.681081, 4391772.54149, 3661.85749708, 421338.681081, 4391772.54149, 3661.85749708, 0, 0, 0
421341.187592, 4391778.00011, 3661.33305775, None, None, None, 421341.187592, 4391778.00011, 3661.33305775, 421341.187592, 4391778.00011, 3661.33305775, 0, 0, 0
421341.688397, 4391779.09076, 3661.11413696, None, None, None, 421341.688397, 4391779.09076, 3661.11413696, 421341.688397, 4391779.09076, 3661.11413696, 0, 0, 0
421342.779412, 4391781.46674, 3660.63721308, None, None, None, 421342.779412, 4391781.46674, 3660.63721308, 421342.779412, 4391781.46674, 3660.63721308, 0, 0, 0
421342.871276, 4391781.6668, 3660.58744581, None, None, None, 421342.871276, 4391781.6668, 3660.58744581, 421342.871276, 4391781.6668, 3660.58744581, 0, 0, 0
